,date,stock,day_0,day_-1,day_-2,day_-3,day_-4,day_-5,day_-6,day_-7,day_-8,day_-9,day_-10,day_-11,day_-12,day_-13,day_-14,day_-15,day_-16,day_-17,day_-18,day_-19
0,2020-02-18,FTSE,92,15,11,100,98,84,87,97,22,12,100,91,91,89,79,12,10,80,86,87
1,2020-02-17,FTSE,73,88,15,10,100,92,86,85,96,21,10,97,92,89,90,82,13,10,78,86
2,2020-02-14,FTSE,78,77,78,73,94,14,11,100,91,87,85,98,20,12,94,92,86,89,80,13
3,2020-02-13,FTSE,10,79,80,79,73,90,14,10,100,91,87,84,96,20,12,98,92,93,87,81
4,2020-02-12,FTSE,14,11,79,78,79,81,92,16,9,100,95,86,87,98,18,12,97,94,90,88
5,2020-02-11,FTSE,88,14,10,79,81,79,77,92,15,10,99,92,90,88,97,20,12,100,92,96
6,2020-02-10,FTSE,80,86,13,10,80,81,80,76,90,15,10,97,92,87,87,98,19,13,100,93
7,2020-02-07,FTSE,81,82,80,81,86,13,10,79,83,79,75,90,15,10,100,94,87,89,97,20
8,2020-02-06,FTSE,10,80,83,81,77,87,13,9,79,83,80,77,92,15,11,100,97,88,88,98
9,2020-02-05,FTSE,14,10,82,79,79,78,82,14,9,76,74,79,76,92,13,10,100,100,82,84
10,2020-02-04,FTSE,76,11,10,79,81,74,75,84,13,10,76,77,80,76,89,14,11,100,92,86
11,2020-02-03,FTSE,83,83,12,11,80,80,79,75,83,14,10,76,80,81,75,89,16,10,100,93
12,2020-01-31,FTSE,91,86,84,87,80,15,10,82,87,83,81,88,14,11,84,81,83,76,96,15
13,2020-01-30,FTSE,12,91,83,81,84,78,12,10,80,81,83,80,83,13,10,80,79,80,77,92
14,2020-01-29,FTSE,14,11,88,81,83,83,81,14,10,78,78,78,78,86,13,10,81,81,80,76
15,2020-01-28,FTSE,94,14,11,93,84,86,85,79,14,10,81,81,81,79,88,13,11,80,80,82
16,2020-01-27,FTSE,89,91,14,11,87,82,80,81,76,11,10,77,78,79,76,83,13,10,79,79
17,2020-01-24,FTSE,88,65,20,97,100,15,12,96,87,90,89,83,13,10,84,85,85,84,93,14
18,2020-01-23,FTSE,13,84,69,20,96,100,17,12,94,88,88,89,86,14,10,86,87,87,86,96
19,2020-01-22,FTSE,14,12,85,68,20,100,98,16,11,86,85,84,87,82,13,11,83,86,79,83
20,2020-01-21,FTSE,82,16,13,91,73,21,100,100,15,12,98,92,92,92,85,14,11,87,90,86
21,2020-01-20,FTSE,19,83,16,10,86,71,20,93,100,17,13,95,89,86,89,88,14,11,83,86
22,2020-01-17,FTSE,95,76,12,19,84,16,12,85,71,21,97,100,16,11,94,91,89,86,84,15
23,2020-01-16,FTSE,9,98,77,13,16,88,15,11,87,70,23,94,100,14,12,89,91,92,89,85
24,2020-01-15,FTSE,15,11,94,77,13,19,81,16,12,83,68,18,94,100,16,12,92,89,93,87
